Position,Mean,Lower,Upper,Organism
1,0.7690792276964048,0.7595789946737684,0.7788429427430094,Methanosarcina_acetivorans_c2a.ASM734v1
2,0.3073422103861518,0.3024051431424767,0.3124683089214381,Methanosarcina_acetivorans_c2a.ASM734v1
3,0.31812982689747005,0.31299553928095875,0.32324673768308926,Methanosarcina_acetivorans_c2a.ASM734v1
4,0.32467842876165115,0.31872906125166445,0.3307926930758988,Methanosarcina_acetivorans_c2a.ASM734v1
5,0.3208535286284953,0.31499142809587216,0.32679087882822905,Methanosarcina_acetivorans_c2a.ASM734v1
6,0.31418109187749665,0.3091501997336884,0.31964981691078564,Methanosarcina_acetivorans_c2a.ASM734v1
7,0.3092316910785619,0.3039078395472703,0.3149391644474035,Methanosarcina_acetivorans_c2a.ASM734v1
8,0.30673368841544607,0.3017016644474035,0.3120142809587217,Methanosarcina_acetivorans_c2a.ASM734v1
9,0.31203328894806925,0.3072042110519308,0.3168794940079893,Methanosarcina_acetivorans_c2a.ASM734v1
10,0.31239613848202397,0.3072603195739015,0.31770885486018646,Methanosarcina_acetivorans_c2a.ASM734v1
11,0.3166284953395473,0.3115405126498003,0.32174507323568574,Methanosarcina_acetivorans_c2a.ASM734v1
12,0.3187709720372836,0.31318941411451395,0.32446123501997337,Methanosarcina_acetivorans_c2a.ASM734v1
13,0.31294474034620506,0.3075146304926764,0.3180019806924101,Methanosarcina_acetivorans_c2a.ASM734v1
14,0.3164340878828229,0.31100888814913447,0.3217640146471371,Methanosarcina_acetivorans_c2a.ASM734v1
15,0.32055858854860186,0.3152772969374168,0.3260164114513981,Methanosarcina_acetivorans_c2a.ASM734v1
16,0.3127809587217044,0.3075095039946738,0.31800214713715047,Methanosarcina_acetivorans_c2a.ASM734v1
17,0.31815246338215714,0.3128127163781625,0.32320262982689746,Methanosarcina_acetivorans_c2a.ASM734v1
18,0.3153934753661784,0.3105151631158456,0.3205800932090546,Methanosarcina_acetivorans_c2a.ASM734v1
19,0.3194707057256991,0.31456661118508655,0.32472450066577896,Methanosarcina_acetivorans_c2a.ASM734v1
20,0.3195938748335553,0.31467177097203725,0.32533483688415443,Methanosarcina_acetivorans_c2a.ASM734v1
21,0.3140199733688415,0.30890650798934755,0.3188354360852197,Methanosarcina_acetivorans_c2a.ASM734v1
22,0.31458721704394144,0.3092281458055925,0.3196153794940079,Methanosarcina_acetivorans_c2a.ASM734v1
23,0.31711651131824237,0.31193307256990677,0.32221712716378165,Methanosarcina_acetivorans_c2a.ASM734v1
24,0.31646338215712383,0.31121066910785616,0.3215780126498003,Methanosarcina_acetivorans_c2a.ASM734v1
25,0.3196757656458056,0.3148872170439414,0.3250753495339547,Methanosarcina_acetivorans_c2a.ASM734v1
26,0.31312050599201063,0.3078933422103861,0.31803515312916103,Methanosarcina_acetivorans_c2a.ASM734v1
27,0.3175965379494008,0.3125428928095872,0.32275171438082556,Methanosarcina_acetivorans_c2a.ASM734v1
28,0.31569507323568574,0.3105043941411451,0.32074285952063913,Methanosarcina_acetivorans_c2a.ASM734v1
29,0.31792743009320906,0.3130579227696405,0.32278725033288946,Methanosarcina_acetivorans_c2a.ASM734v1
