Position,Mean,Lower,Upper,Organism
1,0.7066102735249354,0.7021167072112726,0.7105258020785921,GCF_000001985.1_JCVI-PMFA1-2.0
2,0.4165377708899692,0.4106428677170505,0.42204078017361324,GCF_000001985.1_JCVI-PMFA1-2.0
3,0.3797582962149955,0.37499242085225903,0.3848168627673343,GCF_000001985.1_JCVI-PMFA1-2.0
4,0.33862243655563745,0.3341744787530036,0.34333515119108005,GCF_000001985.1_JCVI-PMFA1-2.0
5,0.29041938225729524,0.28596883241288534,0.2947417358649784,GCF_000001985.1_JCVI-PMFA1-2.0
6,0.2455775850256734,0.241897515165745,0.24958354464876226,GCF_000001985.1_JCVI-PMFA1-2.0
7,0.2131955572753714,0.20990064366367764,0.21648880186573105,GCF_000001985.1_JCVI-PMFA1-2.0
8,0.17701988480387,0.17376980064748587,0.1802198152386214,GCF_000001985.1_JCVI-PMFA1-2.0
9,0.1462207182251004,0.14335264607704853,0.14925008095130365,GCF_000001985.1_JCVI-PMFA1-2.0
10,0.12324359390736887,0.12074917008307665,0.12568413174713583,GCF_000001985.1_JCVI-PMFA1-2.0
11,0.10830259426858836,0.10590074466022097,0.11067528634776938,GCF_000001985.1_JCVI-PMFA1-2.0
12,0.09679857629334941,0.094731327785147,0.09881866355132182,GCF_000001985.1_JCVI-PMFA1-2.0
13,0.08970682538670716,0.08762536483918044,0.09194122779645755,GCF_000001985.1_JCVI-PMFA1-2.0
14,0.0891917792643841,0.087195765987558,0.09128402269705846,GCF_000001985.1_JCVI-PMFA1-2.0
15,0.09251018595780193,0.09025883127753051,0.09460503684452694,GCF_000001985.1_JCVI-PMFA1-2.0
16,0.09324915310651276,0.09112474032054729,0.09540367599704713,GCF_000001985.1_JCVI-PMFA1-2.0
17,0.09454889410989478,0.09241688243820437,0.09663155915423126,GCF_000001985.1_JCVI-PMFA1-2.0
18,0.09679488377760448,0.09477684287038782,0.0990427303885264,GCF_000001985.1_JCVI-PMFA1-2.0
19,0.09879999537467914,0.09662646407294997,0.10095644374129845,GCF_000001985.1_JCVI-PMFA1-2.0
20,0.10095512168349453,0.09883618619224688,0.10321713562069518,GCF_000001985.1_JCVI-PMFA1-2.0
21,0.10297597015499443,0.1007814076918734,0.1051950510463716,GCF_000001985.1_JCVI-PMFA1-2.0
22,0.10408329840120199,0.10172415900620474,0.10635331025924728,GCF_000001985.1_JCVI-PMFA1-2.0
23,0.10491462460664171,0.10286790451519008,0.1071514855571484,GCF_000001985.1_JCVI-PMFA1-2.0
24,0.10650322281092475,0.10436196517177333,0.10887474328787144,GCF_000001985.1_JCVI-PMFA1-2.0
25,0.1065726157211938,0.10425049945515259,0.10883458667456793,GCF_000001985.1_JCVI-PMFA1-2.0
26,0.10677637666002339,0.10446062514636296,0.10908519474725584,GCF_000001985.1_JCVI-PMFA1-2.0
27,0.10744573511555001,0.10513096240611021,0.10984367776728116,GCF_000001985.1_JCVI-PMFA1-2.0
28,0.10723905594828141,0.10496393451521321,0.10955714950742983,GCF_000001985.1_JCVI-PMFA1-2.0
29,0.1076773849237645,0.10540188908872743,0.11019978902820254,GCF_000001985.1_JCVI-PMFA1-2.0
30,0.10642738179158705,0.10432369776714706,0.10874637271217077,GCF_000001985.1_JCVI-PMFA1-2.0
31,0.10583477466359714,0.10351228137039353,0.10805138085751755,GCF_000001985.1_JCVI-PMFA1-2.0
32,0.10528529636114456,0.10319734979370215,0.10763148375341952,GCF_000001985.1_JCVI-PMFA1-2.0
33,0.10519020841516571,0.1029139164802923,0.10755705289621639,GCF_000001985.1_JCVI-PMFA1-2.0
34,0.10502973199133867,0.10278476044233298,0.10725239786823389,GCF_000001985.1_JCVI-PMFA1-2.0
35,0.10321054639084305,0.10094470150015188,0.10548340354760614,GCF_000001985.1_JCVI-PMFA1-2.0
36,0.10321421076886017,0.10117747481469112,0.10551065147648851,GCF_000001985.1_JCVI-PMFA1-2.0
37,0.10264767428085488,0.10055812843577129,0.10491050173406324,GCF_000001985.1_JCVI-PMFA1-2.0
38,0.10208833918260589,0.09996974884068868,0.10403847466492393,GCF_000001985.1_JCVI-PMFA1-2.0
39,0.10104539703503566,0.0988656595269351,0.10317672474744485,GCF_000001985.1_JCVI-PMFA1-2.0
40,0.10114114010140035,0.0989891771936878,0.10320321527358725,GCF_000001985.1_JCVI-PMFA1-2.0
41,0.1014092791824703,0.09944498671517851,0.10332738166432066,GCF_000001985.1_JCVI-PMFA1-2.0
42,0.10169772268816425,0.09959091948563537,0.10375514848198422,GCF_000001985.1_JCVI-PMFA1-2.0
43,0.10242422098366152,0.10027020202484328,0.10456300754067985,GCF_000001985.1_JCVI-PMFA1-2.0
44,0.10088484646252106,0.09881419145610582,0.10305227285712505,GCF_000001985.1_JCVI-PMFA1-2.0
45,0.10049956615627471,0.09835503646081,0.10258213033680344,GCF_000001985.1_JCVI-PMFA1-2.0
46,0.10042354869462397,0.09833377082871578,0.10239854477799526,GCF_000001985.1_JCVI-PMFA1-2.0
47,0.1007435075580633,0.0987047410248106,0.10286013121802437,GCF_000001985.1_JCVI-PMFA1-2.0
48,0.10042089455604795,0.09840322038371647,0.10257035470587009,GCF_000001985.1_JCVI-PMFA1-2.0
49,0.09939664985326858,0.09744338806895185,0.10145193744734897,GCF_000001985.1_JCVI-PMFA1-2.0
50,0.09857767566957205,0.09659799441319296,0.10053704914738723,GCF_000001985.1_JCVI-PMFA1-2.0
51,0.09815235158510771,0.09623409299604817,0.10006471971933245,GCF_000001985.1_JCVI-PMFA1-2.0
52,0.09854547679426034,0.09661983978338526,0.10058886833401119,GCF_000001985.1_JCVI-PMFA1-2.0
53,0.09767242645298578,0.09574957057457383,0.09969975347130737,GCF_000001985.1_JCVI-PMFA1-2.0
54,0.09735813296232611,0.09540252940677038,0.09934172837728772,GCF_000001985.1_JCVI-PMFA1-2.0
55,0.09724548261825348,0.09522368664896397,0.09919755026972568,GCF_000001985.1_JCVI-PMFA1-2.0
56,0.09664815762254542,0.09473047003684343,0.09854833121271282,GCF_000001985.1_JCVI-PMFA1-2.0
57,0.0961880085036753,0.09413643118042837,0.09815510470349778,GCF_000001985.1_JCVI-PMFA1-2.0
58,0.09567020218008876,0.09362123464300069,0.09764216407062565,GCF_000001985.1_JCVI-PMFA1-2.0
59,0.09559419581275894,0.09362631697887773,0.09744313123299947,GCF_000001985.1_JCVI-PMFA1-2.0
60,0.0953481235743233,0.09347812713392407,0.09717251691559609,GCF_000001985.1_JCVI-PMFA1-2.0
61,0.094892248242812,0.09304102011303933,0.09681442763413346,GCF_000001985.1_JCVI-PMFA1-2.0
62,0.0947271806873888,0.09289345622625898,0.09652638599030977,GCF_000001985.1_JCVI-PMFA1-2.0
63,0.09520628917573573,0.09327920819639626,0.09718405961462354,GCF_000001985.1_JCVI-PMFA1-2.0
64,0.0950174425505007,0.09316247293023686,0.09689492241142647,GCF_000001985.1_JCVI-PMFA1-2.0
65,0.09412149285623461,0.09208094244610461,0.09611514431217076,GCF_000001985.1_JCVI-PMFA1-2.0
